aaa

Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,26,11,19,2,17,34,29,46,29,19,51,83,17,6,2,14,20,17,17,41,34,14,18,23,32,26,16,18,14,20,8,5

Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,25,29,22,23,23,30,27,36,40,44,64
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,2,8,31,37,56,39,37,45,103,58,27,101,74,98,138,120,139,298,149,65,46,39,40,35,48,41,86,74,58,149,49,55,55,59,97,160,200,109,190

Ghana,0,0,0,0,0,0,0,0,5,10,43,26,26,59,128,64,37,62,51,70,95,71,45,90,98,91,131,192,188,137,113,163,128,168,160,260,505,503,761,971,727,701,791,1270,719,804,991,1150,1367,1707,1934,2174,2294,2369,2125,2056
Guinea,0,0,0,0,0,0,0,0,0,0,4,1,2,5,4,44,8,2,3,8,12,44,6,14,7,4,25,28,28,49,36,50,20,31,31,30,37,62,42,89,88,126,145,121,118,138,105,166,188,281,303,333,372,356,276,358
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,8,2,8,24,13,18,5,2,3,4,6,4,12,6,41,13,15,15,29,32,72,31,20,27,26,11,19,18,26,21,27,31,25,58,31,55
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,2,3,11,6,8,7,8,7,1,1,2,12,21,10,2,7,4,3,5,15,18,2,11,7,14,12,13,10

Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,9,1,17,0,5,10,12,20,86,36,30,56,44,31,82,88,127,90,108,74,132,133,143,135,141,152,124,109,127,142,161,167,150,216,216,227,247,265,182,195,198,205,231,279
Kenya,0,0,0,0,0,3,0,0,0,0,0,0,0,0,76,51,37,50,71,112,204,153,195,230,177,176,221,274,352,291,327,331,470,386,425,442,431,435,518,649,810,744,686,681,798,787,756,817,886,806,901,892,823,825,992,1182

Liberia,0,0,0,0,2,8,6,0,3,1,4,3,4,5,22,9,13,8,4,16,58,26,30,36,32,37,56,70,63,91,62,97,91,109,94,67,58,70,65,61,47,24,22,41,32,42,21,24,19,31,70,30,35,13,29,44

Libya,0,0,0,0,0,0,1,0,0,2,3,8,11,3,21,12,23,46,36,35,42,27,64,82,170,143,177,189,267,220,259,277,275,290,307,427,214,229,165,105,138,173,118,87,65,121,89,74,90,57,112,162,201,182,246,287

Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,3,3,2,2,3,5,5,9,10,11,14,13,46,165,169,33,34,39,39,28,35,54,30,32,62,45,47,43,52
Madagascar,0,0,0,0,0,0,0,0,0,0,0,2,4,5,14,30,9,14,22,32,39,12,18,24,49,26,19,40,53,73,59,44,87,163,127,48,54,51,69,103,142,83,93,89,87,113,113,114,157,133,155,120,129,164,176,247

Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,7,3,3,0,7,7,1,4,8,12,12,35,24,20,20,35,54,42,44,49,50,34,31,39,62,123,75,61,51,50,67,106,129,160,155,148,149,181,206,169,242
